Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brunei Darussalam,BRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.7414765305361,99.7640332608049,99.7865899910736,99.8091467213424,99.8317034516111,99.8542601818798,99.8768169121486,99.8993736424173,99.9000219255643,99.9000444673207,99.9000669989146,99.9000895203528,100,100,100
Brunei Darussalam,BRN,Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5,152.29461380089,86.5577472272033,60.2377631666334,74.736003187886,67.7757853490071,52.2879723716544,44.7964401939297,46.2509131965199,36.9329879790131,37.7764494919307,41.103805538952,38.7593810187953,34.5420734542073,27.77445706316,15.5343029820017
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,1.38576996326447,1.24872994422913,1.20887994766235,1.23062002658844,1.57648003101349,1.44690001010895,..,..,..,1.60336995124817,2.13345387893978,2.2476462495972,1.96232691812756,1.95793279576416
Cambodia,KHM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,8.92994976043701,10.6747398376465,12.1998596191406,11.4902860215331,..,..,..,13.615484963166,..,12.5181529981862,13.2671737077763,12.9409846754696,13.8767573747135,13.5005634857238,14.6069513022825
Cambodia,KHM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,0.825,0.579,0.771,0.577,1.279,0.438,0.692,0.393,0.716,0.141,..,0.499,0.172,0.396,..
Cambodia,KHM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,97.1902834008097,94.6287519747235,94.488188976378,92.8369462770971,62.3561272850372,42.1713038734315,39.211356466877,54.8617113223855,52.8045423262216,58.6541244573083,40.7316215265565,50.8316699933466,51.3694863051369,41.8438326638581,35.190753617741
Cambodia,KHM,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.510796221322537,0.815165876777251,0.790354330708661,1.54382657869934,0.326337169939066,-0.409710856519367,-0.0990536277602524,4.33470181503889,-0.410013764624914,0.700144717800289,-1.06753429475906,0.306387225548902,2.41777582224178,4.97638875281669,..
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,24.096851930605,-1.24171754189637,3.99639528107218,5.4784474961745,2.93431609293951,2.94162509547349,3.85568861424207,1.22393195511119,3.01913975139128,2.91263557371478,2.45908515380146,1.94257500833107,2.9402951426397,2.92073477592949,5.34370264895437
Cambodia,KHM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.7,11.8,15.8,22.8,28.5,38.9,44.7,53.3,60.7,86.1,75,80,82.9,77.1,88
Cambodia,KHM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,4.0975,4.8779,5.1593,5.3651,5.6329,5.6951,7.0334,8.5196,10.5961,11.828,12.3125,15.7108,18.6332,18.4826,18.3849
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.147,66.747,67.311,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.47636606631011,4.07477850599065,5.07691843229247,7.28665813879552,7.65025657870362,7.8574997554252,8.00032074618566,7.20703472529512,7.90550116130704,8.07503915535979,8.77622376224463,7.93695013588524,-3.55572193406549,3.08984284148661,5.12990110773977
